dev,seq,hint,threads,time,workGB,tlb,readGB,CPUwork
./test_file,1,0,20,58.025,2.70294,205630,5.4072,4619
./test_file,1,0,20,59.0255,2.62964,167665,5.25928,4646
./test_file,1,0,20,60.0259,2.65039,146683,5.30066,4656
./test_file,1,0,20,61.0263,2.7207,148832,5.44104,4619
./test_file,1,0,20,62.0267,2.60876,169237,5.21777,4586
./test_file,1,0,20,63.0272,2.23141,295060,4.46396,4511
./test_file,1,0,20,64.0276,2.61588,183847,5.23211,4675
./test_file,1,0,20,65.028,2.61609,167633,5.23206,4609
./test_file,1,0,20,66.0284,2.58234,159537,5.16516,4632
./test_file,1,0,20,67.0288,2.59784,135961,5.19551,4664
./test_file,1,0,20,68.0293,15.491,239956,5.35724,4634
./test_file,1,0,20,69.0297,2.3322,318694,4.66503,4635
./test_file,1,0,20,70.0302,2.62239,191934,5.24491,4603
./test_file,1,0,20,71.0306,2.8728,191882,5.74536,4576
./test_file,1,0,20,72.031,2.80457,166302,5.60864,4567
./test_file,1,0,20,73.0315,2.71021,145164,5.41858,4640
./test_file,1,0,20,74.0321,2.8031,216945,5.60596,4575
./test_file,1,0,20,75.0327,2.49756,409741,4.99524,4567
./test_file,1,0,20,76.0331,2.62695,186207,5.25452,4657
./test_file,1,0,20,77.0335,2.80261,187539,5.60242,4649
./test_file,1,0,20,78.0342,2.92139,167063,5.84253,4628
./test_file,1,0,20,79.0346,2.66497,141666,5.33067,4658
./test_file,1,0,20,80.0351,2.68988,209779,5.37939,4656
./test_file,1,0,20,81.0355,2.30054,270718,4.60107,4612
./test_file,1,0,20,82.0359,2.57202,177627,5.14453,4549
./test_file,1,0,20,83.0363,2.7098,177262,5.41724,4561
./test_file,1,0,20,84.0367,2.70622,149230,5.4126,4603
./test_file,1,0,20,85.0371,2.82732,160360,5.65459,4591
./test_file,1,0,20,86.0377,2.61787,238322,5.23722,4570
./test_file,1,0,20,87.0381,2.34383,335856,4.68793,4525
./test_file,1,0,20,88.0385,2.64104,180640,5.29635,4564
./test_file,1,0,20,89.039,2.81226,179162,5.62317,4655
./test_file,1,0,20,90.0394,2.65381,147724,5.30811,4640
./test_file,1,0,20,91.0398,2.7471,151746,5.49426,4604
./test_file,1,0,20,92.0403,2.64401,213356,5.28796,4535
./test_file,1,0,20,93.0407,2.36084,285405,4.72145,4532
./test_file,1,0,20,94.0412,2.75403,18446744073702649181,5.50892,4645
./test_file,1,0,20,95.0416,2.63554,171502,5.27087,4642
./test_file,1,0,20,96.042,2.62593,146188,5.2522,4646
./test_file,1,0,20,97.0424,2.60388,143290,5.2113,4596
./test_file,1,0,20,98.0428,2.59412,189650,5.18835,4653
./test_file,1,0,20,99.0433,2.33815,275771,4.67631,4595
./test_file,1,0,20,100.044,2.60301,183882,5.20646,4649
./test_file,1,0,20,101.044,14.7826,192676,5.26788,4611
./test_file,1,0,20,102.045,2.78736,170692,5.468,4616
./test_file,1,0,20,103.045,2.65613,144617,5.31214,4687
./test_file,1,0,20,104.045,2.85583,192675,5.71213,4655
./test_file,1,0,20,105.046,2.67698,287207,5.35368,4607
./test_file,1,0,20,106.046,2.64736,268441,5.29276,4602
./test_file,1,0,20,107.047,2.77856,185606,5.55737,4589
./test_file,1,0,20,108.047,2.86816,195069,5.73621,4611
./test_file,1,0,20,109.048,2.64087,143587,5.28206,4646
./test_file,1,0,20,110.048,2.79894,190677,5.5965,4643
./test_file,1,0,20,111.049,2.92335,283809,5.8468,4583
./test_file,1,0,20,112.049,2.44592,301635,4.89209,4618
./test_file,1,0,20,113.049,2.62158,175176,5.24304,4647
./test_file,1,0,20,114.05,2.651,173628,5.302,4681
./test_file,1,0,20,115.05,2.59692,146134,5.19385,4667
./test_file,1,0,20,116.051,2.69641,153941,5.39201,4647
./test_file,1,0,20,117.051,2.72046,233666,5.44116,4615
./test_file,1,0,20,118.052,2.61464,312397,5.22987,4589
./test_file,1,0,20,119.052,2.64586,188521,5.2916,4624
./test_file,1,0,20,120.053,2.6427,176140,5.28552,4608
./test_file,1,0,20,121.053,2.6427,165976,5.28357,4669
./test_file,1,0,20,122.054,2.76868,150614,5.53796,4659
./test_file,1,0,20,123.054,2.63232,152639,5.26578,4639
./test_file,1,0,20,124.055,2.62116,248630,5.24186,4630
./test_file,1,0,20,125.055,2.62103,216157,5.24255,4578
./test_file,1,0,20,126.055,2.6283,174314,5.25648,4618
./test_file,1,0,20,127.056,2.76506,188687,5.5302,4654
./test_file,1,0,20,128.056,2.64104,146798,5.28247,4681
./test_file,1,0,20,129.057,2.59353,169219,5.18701,4588
./test_file,1,0,20,130.057,2.64929,213537,5.29871,4629
./test_file,1,0,20,131.058,2.46518,245913,4.92986,4616
./test_file,1,0,20,132.058,2.61997,186196,5.24018,4623
./test_file,1,0,20,133.058,2.61078,170721,5.22157,4635
./test_file,1,0,20,134.059,13.553,180864,5.31628,4632
./test_file,1,0,20,135.059,3.3775,158514,5.47477,4608
./test_file,1,0,20,136.06,2.64673,162231,5.29358,4626
./test_file,1,0,20,137.06,2.56103,313467,5.12194,4601
./test_file,1,0,20,138.061,2.75432,173376,5.50855,4640
./test_file,1,0,20,139.061,2.70967,150901,5.41734,4626
./test_file,1,0,20,140.062,2.77466,162668,5.54907,4634
./test_file,1,0,20,141.062,2.89868,148832,5.79736,4616
./test_file,1,0,20,142.063,2.66345,149134,5.32727,4629
./test_file,1,0,20,143.064,2.73016,207012,5.45801,4553
./test_file,1,0,20,144.064,2.61615,287108,5.23254,4525
./test_file,1,0,20,145.064,2.65015,150546,5.30058,4645
./test_file,1,0,20,146.065,2.58374,149338,5.16736,4651
./test_file,1,0,20,147.065,2.6676,133866,5.33545,4665
./test_file,1,0,20,148.066,2.60242,136650,5.20656,4616
./test_file,1,0,20,149.066,2.66724,200682,5.33191,4617
./test_file,1,0,20,150.067,2.56789,244529,5.13581,4594
./test_file,1,0,20,151.067,2.83067,177385,5.66131,4568
./test_file,1,0,20,152.067,2.73645,169010,5.47302,4633
./test_file,1,0,20,153.068,2.60046,146473,5.20082,4651
./test_file,1,0,20,154.068,2.61426,130059,5.22864,4625
./test_file,1,0,20,155.069,2.7948,180056,5.58801,4554
./test_file,1,0,20,156.069,2.47453,267723,4.95352,4529
./test_file,1,0,20,157.07,2.68324,226049,5.3637,4556
./test_file,1,0,20,158.07,2.65729,192503,5.31519,4670
./test_file,1,0,20,159.071,2.60632,170143,5.21228,4616
./test_file,1,0,20,160.071,2.77905,161098,5.55798,4675
./test_file,1,0,20,161.072,2.61841,172401,5.2373,4602
./test_file,1,0,20,162.072,2.60193,206432,5.20374,4553
./test_file,1,0,20,163.073,2.4812,280283,4.96217,4631
./test_file,1,0,20,164.073,2.62463,172061,5.25198,4641
./test_file,1,0,20,165.073,2.61284,172490,5.22663,4648
./test_file,1,0,20,166.074,2.60835,165425,5.21626,4671
./test_file,1,0,20,167.075,6.59013,161844,5.34355,4629
./test_file,1,0,20,168.075,9.93374,195495,5.42665,4638
./test_file,1,0,20,169.076,2.70538,265206,5.41121,4589
./test_file,1,0,20,170.076,2.54785,328393,5.0957,4586
./test_file,1,0,20,171.077,2.94495,209728,5.89001,4592
./test_file,1,0,20,172.078,2.74634,187761,5.49108,4650
./test_file,1,0,20,173.078,2.74622,168905,5.49255,4659
./test_file,1,0,20,174.078,2.84705,191652,5.6936,4546
./test_file,1,0,20,175.079,2.70605,215570,5.4126,4644
./test_file,1,0,20,176.079,2.56688,320665,5.13502,4598
./test_file,1,0,20,177.08,2.9922,233974,5.98215,4557
./test_file,1,0,20,178.08,2.67542,178315,5.35107,4628
./test_file,1,0,20,179.081,2.61906,171487,5.23805,4682
./test_file,1,0,20,180.081,2.67794,158740,5.35583,4598
./test_file,1,0,20,181.082,2.62598,173144,5.25183,4604
./test_file,1,0,20,182.082,2.63477,218408,5.26721,4612
./test_file,1,0,20,183.082,2.62341,318328,5.24695,4594
./test_file,1,0,20,184.083,2.77686,210347,5.55396,4576
./test_file,1,0,20,185.083,2.76392,193516,5.52784,4572
./test_file,1,0,20,186.084,2.61829,166104,5.2367,4626
./test_file,1,0,20,187.084,2.6073,150711,5.21484,4589
./test_file,1,0,20,188.085,2.77405,201295,5.54675,4618
./test_file,1,0,20,189.085,2.66638,241231,5.33252,4525
./test_file,1,0,20,190.085,2.59607,306817,5.19214,4620
./test_file,1,0,20,191.086,2.69312,184546,5.38623,4636
./test_file,1,0,20,192.086,2.58362,177065,5.16748,4672
./test_file,1,0,20,193.087,2.75098,175262,5.50208,4658
./test_file,1,0,20,194.087,2.65649,159060,5.31238,4663
./test_file,1,0,20,195.088,2.5968,194190,5.19385,4623
./test_file,1,0,20,196.088,2.53206,292403,5.06413,4532
./test_file,1,0,20,197.089,2.61357,232137,5.22713,4632
./test_file,1,0,20,198.089,2.62897,176702,5.25793,4683
./test_file,1,0,20,199.09,2.5943,171944,5.18855,4682
./test_file,1,0,20,200.09,6.26782,171156,5.31645,4661
./test_file,1,0,20,201.09,9.56922,187405,5.36787,4656
./test_file,1,0,20,202.091,2.73889,216037,5.47891,4601
./test_file,1,0,20,203.091,2.58109,298418,5.16209,4553
./test_file,1,0,20,204.092,2.91146,226168,5.82265,4623
./test_file,1,0,20,205.092,2.79724,188724,5.59319,4608
./test_file,1,0,20,206.093,2.70874,184092,5.4165,4629
./test_file,1,0,20,207.093,2.81909,176224,5.63831,4626
./test_file,1,0,20,208.094,2.79944,195475,5.60213,4604
./test_file,1,0,20,209.094,2.65149,228000,5.30311,4570
./test_file,1,1,20,1.00045,0.82621,18446698880390199135,1.64948,4464
./test_file,1,1,20,2.0009,0.826267,18446649611944115326,1.65252,4435
./test_file,1,1,20,3.00133,0.818928,369,1.63789,4452
./test_file,1,1,20,4.00176,0.826263,12,1.65257,4444
./test_file,1,1,20,5.00218,0.835571,136,1.6711,4442
./test_file,1,1,20,6.00268,0.839241,8,1.67853,4445
./test_file,1,1,20,7.00316,0.826607,63,1.65319,4438
./test_file,1,1,20,8.00359,0.816631,0,1.6357,4456
./test_file,1,1,20,9.00404,0.817181,372,1.63436,4438
./test_file,1,1,20,10.0045,0.840382,0,1.68077,4427
./test_file,1,1,20,11.0049,0.833179,0,1.66661,4456
./test_file,1,1,20,12.0054,0.836353,0,1.6727,4450
./test_file,1,1,20,13.0058,0.86787,0,1.73573,4343
./test_file,1,1,20,14.0063,0.873886,0,1.74775,4344
./test_file,1,1,20,15.0068,0.868446,0,1.73688,4342
./test_file,1,1,20,16.0073,0.831203,0,1.66244,4412
./test_file,1,1,20,17.0077,0.829689,0,1.65937,4352
./test_file,1,1,20,18.0082,0.822269,4,1.64459,4389
./test_file,1,1,20,19.0086,0.8424,0,1.68479,4426
./test_file,1,1,20,20.009,0.849777,0,1.69957,4363
./test_file,1,1,20,21.0095,0.840839,0,1.68163,4426
./test_file,1,1,20,22.0099,0.853344,0,1.70673,4380
./test_file,1,1,20,23.0103,0.844219,0,1.68841,4471
./test_file,1,1,20,24.0108,0.842384,0,1.68473,4442
./test_file,1,1,20,25.0112,0.863323,0,1.72665,4352
./test_file,1,1,20,26.0117,0.859886,0,1.71981,4352
./test_file,1,1,20,27.0121,0.847427,0,1.69485,4341
./test_file,1,1,20,28.0126,0.821026,0,1.64206,4543
./test_file,1,1,20,29.013,0.814079,0,1.6281,4352
./test_file,1,1,20,30.0135,0.827835,0,1.65565,4351
./test_file,1,1,20,31.0139,0.816715,0,1.63342,4419
./test_file,1,1,20,32.0143,0.814102,0,1.6282,4327
./test_file,1,1,20,33.0148,0.82515,0,1.6503,4389
./test_file,1,1,20,34.0153,0.329292,10737,0.658554,3753
./test_file,1,1,20,35.0157,0.8283,52302,1.65663,4445
./test_file,1,1,20,36.0161,0.824276,51717,1.64867,4511
./test_file,1,1,20,37.0166,0.83226,56993,1.66455,4476
./test_file,1,1,20,38.017,0.819706,55118,1.63941,4385
./test_file,1,1,20,39.0174,0.822903,51472,1.64609,4392
./test_file,1,1,20,40.0179,0.829514,54601,1.65902,4440
./test_file,1,1,20,41.0183,0.829716,55092,1.65947,4435
./test_file,1,1,20,42.0187,0.834354,52030,1.66867,4434
./test_file,1,1,20,43.0192,0.831013,54905,1.66202,4453
./test_file,1,1,20,44.0196,0.838631,54923,1.67845,4434
./test_file,1,1,20,45.02,0.841488,53521,1.68297,4396
./test_file,1,1,20,46.0205,0.852627,51710,1.70531,4460
./test_file,1,1,20,47.0209,0.858307,64913,1.71663,4418
./test_file,1,1,20,48.0214,0.857758,81871,1.71547,4430
./test_file,1,1,20,49.0218,0.831913,113012,1.66388,4447
./test_file,1,1,20,50.0222,0.826645,50149,1.65329,4492
./test_file,1,1,20,51.0227,0.81982,50299,1.63962,4537
./test_file,1,1,20,52.0231,0.832275,112293,1.66653,4508
./test_file,1,1,20,53.0236,0.839863,105304,1.67973,4496
./test_file,1,1,20,54.024,0.845215,105297,1.69044,4484
./test_file,1,1,20,55.0245,0.859394,47894,1.71885,4500
./test_file,1,1,20,56.0249,0.864109,56466,1.72821,4509
./test_file,1,1,20,57.0253,0.86375,90512,1.7275,4494
./test_file,1,1,20,58.0257,0.836773,51443,1.67358,4485
./test_file,1,1,20,59.0262,0.822186,53975,1.6443,4436
./test_file,1,1,20,60.0267,0.823681,54086,1.68428,4434
./test_file,1,1,20,61.0272,0.853188,55850,1.70637,4446
./test_file,1,1,20,62.0276,0.853157,55580,1.70635,4450
./test_file,1,1,20,63.0281,0.862766,55604,1.72553,4439
./test_file,1,1,20,64.0286,0.859047,55937,1.71809,4434
./test_file,1,1,20,65.0291,0.85725,55533,1.7145,4435
./test_file,1,1,20,66.0295,0.863705,57949,1.72813,4437
./test_file,1,1,20,67.03,0.63913,87611,1.27842,4433
./test_file,1,1,20,68.0305,0.622887,104675,1.24631,4366
./test_file,1,1,20,69.0309,0.838833,56585,1.67767,4434
./test_file,1,1,20,70.0314,0.850712,94547,1.70143,4428
./test_file,1,1,20,71.0318,0.85112,57908,1.70225,4438
./test_file,1,1,20,72.0323,0.859119,79638,1.71825,4433
./test_file,1,1,20,73.0327,0.869278,81033,1.73857,4467
./test_file,1,1,20,74.0332,0.872677,97953,1.74534,4416
./test_file,1,1,20,75.0336,0.874786,59481,1.74958,4424
./test_file,1,1,20,76.034,0.852055,55952,1.70412,4432
./test_file,1,1,20,77.0345,0.846909,56104,1.69377,4426
./test_file,1,1,20,78.035,0.842598,55228,1.68522,4408
./test_file,1,1,20,79.0354,0.849899,55132,1.69984,4387
./test_file,1,1,20,80.0359,0.848389,55566,1.69677,4334
./test_file,1,1,20,81.0363,0.837757,55067,1.67548,4371
./test_file,1,1,20,82.0367,0.844818,90033,1.68966,4411
./test_file,1,1,20,83.0372,0.8312,109153,1.66237,4436
./test_file,1,1,20,84.0376,0.841969,54510,1.68398,4438
./test_file,1,1,20,85.0381,0.824493,54146,1.64899,4438
./test_file,1,1,20,86.0385,0.814854,54395,1.62969,4440
./test_file,1,1,20,87.0389,0.826145,54890,1.65229,4436
./test_file,1,1,20,88.0394,0.837368,55154,1.67471,4433
./test_file,1,1,20,89.0398,0.846638,55626,1.69331,4391
./test_file,1,1,20,90.0403,0.842896,56614,1.68576,4430
./test_file,1,1,20,91.0407,0.830334,55089,1.66071,4356
./test_file,1,1,20,92.0412,0.834702,49824,1.6694,4408
./test_file,1,1,20,93.0416,0.818302,80952,1.63663,4420
./test_file,1,1,20,94.042,0.813869,85582,1.62774,4362
./test_file,1,1,20,95.0425,0.813744,52342,1.62747,4438
./test_file,1,1,20,96.0429,0.828175,53200,1.65633,4437
./test_file,1,1,20,97.0433,0.839783,55288,1.67963,4433
./test_file,1,1,20,98.0438,0.841972,56302,1.68929,4439
./test_file,1,1,20,99.0442,0.850082,56535,1.70021,4417
./test_file,1,1,20,100.045,0.820503,72794,1.641,4356
./test_file,1,1,20,101.045,0.481728,200097,0.963444,4343
./test_file,1,1,20,102.046,0.840977,58173,1.68196,4388
./test_file,1,1,20,103.046,0.82901,54316,1.658,4485
./test_file,1,1,20,104.047,0.85957,59614,1.71912,4421
./test_file,1,1,20,105.047,0.854332,55241,1.70867,4426
./test_file,1,1,20,106.047,0.841953,55209,1.68392,4427
./test_file,1,1,20,107.048,0.859398,59265,1.72041,4387
./test_file,1,1,20,108.048,0.853073,55948,1.7062,4458
./test_file,1,1,20,109.049,0.841007,74569,1.682,4396
./test_file,1,1,20,110.049,0.822605,51146,1.64522,4393
./test_file,1,1,20,111.05,0.816902,53160,1.6338,4407
./test_file,1,1,20,112.05,0.825333,54187,1.65075,4426
./test_file,1,1,20,113.051,0.844177,54361,1.6883,4362
./test_file,1,1,20,114.051,0.84642,56669,1.69284,4370
./test_file,1,1,20,115.051,0.846703,56002,1.6935,4340
./test_file,1,1,20,116.052,0.821819,57424,1.64365,4425
./test_file,1,1,20,117.052,0.8097,119404,1.61942,4420
./test_file,1,1,20,118.053,0.817749,53623,1.63546,4497
./test_file,1,1,20,119.053,0.808006,51155,1.61605,4437
./test_file,1,1,20,120.054,0.81316,53041,1.6265,4435
./test_file,1,1,20,121.054,0.821808,56682,1.64362,4434
./test_file,1,1,20,122.054,0.816345,70862,1.63269,4425
./test_file,1,1,20,123.055,0.817471,54618,1.63497,4450
./test_file,1,1,20,124.055,0.823132,150670,1.64625,4412
./test_file,1,1,20,125.056,0.838005,54658,1.67602,4436
./test_file,1,1,20,126.056,0.83662,53892,1.67387,4437
./test_file,1,1,20,127.057,0.823185,55638,1.64636,4430
./test_file,1,1,20,128.057,0.82024,54391,1.64083,4463
./test_file,1,1,20,129.057,0.818874,54619,1.63776,4435
./test_file,1,1,20,130.058,0.827717,52964,1.65539,4405
./test_file,1,1,20,131.058,0.844334,56045,1.68865,4436
./test_file,1,1,20,132.059,0.840588,55342,1.68122,4436
./test_file,1,1,20,133.059,0.841,55968,1.68255,4464
./test_file,1,1,20,134.06,0.684353,157359,1.36981,4395
./test_file,1,1,20,135.06,0.729683,131529,1.45932,4344
./test_file,1,1,20,136.061,0.873894,63161,1.7478,4407
./test_file,1,1,20,137.061,0.834171,58917,1.66838,4420
./test_file,1,1,20,138.062,0.836235,57893,1.67247,4446
./test_file,1,1,20,139.062,0.815762,52466,1.63151,4432
./test_file,1,1,20,140.062,0.834499,55553,1.66896,4437
./test_file,1,1,20,141.063,0.84325,59341,1.68655,4435
./test_file,1,1,20,142.063,0.841839,56951,1.68369,4434
./test_file,1,1,20,143.064,0.834122,53708,1.66888,4433
./test_file,1,1,20,144.064,0.850185,60106,1.70037,4410
./test_file,1,1,20,145.065,0.845707,56948,1.6914,4427
./test_file,1,1,20,146.065,0.866829,57688,1.73371,4367
./test_file,1,1,20,147.066,0.861271,59732,1.7225,4426
./test_file,1,1,20,148.066,0.848705,55754,1.69743,4440
./test_file,1,1,20,149.066,0.818382,55254,1.63676,4436
./test_file,1,1,20,150.067,0.81496,55168,1.62991,4437
./test_file,1,1,20,151.067,0.821285,55626,1.6426,4441
./test_file,1,1,20,152.068,0.819996,54997,1.63994,4437
./test_file,1,1,20,153.068,0.824627,55379,1.64924,4461
./test_file,1,1,20,154.069,0.815617,54781,1.63124,4471
./test_file,1,1,20,155.069,0.828602,56088,1.65715,4341
./test_file,1,1,20,156.07,0.820171,56049,1.64438,4415
./test_file,1,1,20,157.07,0.827965,55562,1.6555,4399
./test_file,1,1,20,158.071,0.825024,56151,1.65027,4443
./test_file,1,1,20,159.071,0.830925,56118,1.6619,4435
./test_file,1,1,20,160.071,0.829895,56007,1.65987,4436
./test_file,1,1,20,161.072,0.822922,56091,1.64585,4461
./test_file,1,1,20,162.072,0.834694,55837,1.66935,4436
./test_file,1,1,20,163.073,0.832489,55456,1.66496,4463
./test_file,1,1,20,164.073,0.834488,55752,1.66978,4420
./test_file,1,1,20,165.074,0.840115,55996,1.68019,4373
./test_file,1,1,20,166.074,0.834244,55712,1.66846,4433
./test_file,1,1,20,167.075,0.74361,96940,1.48796,4380
./test_file,1,1,20,168.075,0.657284,159672,1.31447,4401
./test_file,1,1,20,169.076,0.860172,55892,1.72042,4423
./test_file,1,1,20,170.076,0.840504,59173,1.68108,4421
./test_file,1,1,20,171.077,0.824909,58821,1.64977,4398
./test_file,1,1,20,172.077,0.811375,51572,1.62278,4326
./test_file,1,1,20,173.078,0.821606,52753,1.6432,4385
./test_file,1,1,20,174.078,0.840118,56642,1.68039,4327
./test_file,1,1,20,175.078,0.839138,56917,1.67827,4324
./test_file,1,1,20,176.079,0.839722,56887,1.67945,4407
./test_file,1,1,20,177.079,0.858498,61269,1.7171,4395
./test_file,1,1,20,178.08,0.850117,56987,1.70024,4370
./test_file,1,1,20,179.081,0.850323,56658,1.70065,4440
./test_file,1,1,20,180.081,0.835098,55803,1.67034,4430
./test_file,1,1,20,181.082,0.825069,54901,1.65015,4394
./test_file,1,1,20,182.082,0.847786,56358,1.69555,4429
./test_file,1,1,20,183.083,0.858536,59696,1.71731,4444
./test_file,1,1,20,184.083,0.853153,59726,1.70637,4414
./test_file,1,1,20,185.084,0.857224,56392,1.7145,4412
./test_file,1,1,20,186.084,0.854744,59761,1.70998,4362
./test_file,1,1,20,187.085,0.856895,57341,1.71382,4362
./test_file,1,1,20,188.085,0.833488,56026,1.6687,4380
./test_file,1,1,20,189.086,0.83791,55757,1.67579,4436
./test_file,1,1,20,190.086,0.845009,59826,1.69006,4404
./test_file,1,1,20,191.087,0.863346,60924,1.72668,4340
./test_file,1,1,20,192.087,0.863956,57738,1.7279,4324
./test_file,1,1,20,193.088,0.863998,61278,1.72802,4390
./test_file,1,1,20,194.088,0.874271,63120,1.74849,4408
./test_file,1,1,20,195.088,0.868778,58055,1.73758,4424
./test_file,1,1,20,196.089,0.86245,57805,1.72487,4438
./test_file,1,1,20,197.089,0.837543,55202,1.67511,4439
./test_file,1,1,20,198.09,0.835201,54975,1.6704,4482
./test_file,1,1,20,199.09,0.833832,55449,1.66767,4399
./test_file,1,1,20,200.091,0.726513,108743,1.45303,4373
./test_file,1,1,20,201.091,0.676521,148008,1.35494,4296
./test_file,1,1,20,202.092,0.859444,53656,1.71894,4407
./test_file,1,1,20,203.092,0.851391,53959,1.70275,4399
./test_file,1,1,20,204.092,0.838528,52446,1.67704,4402
./test_file,1,1,20,205.093,0.844627,53066,1.68929,4322
./test_file,1,1,20,206.093,0.816086,49762,1.63219,4422
./test_file,1,1,20,207.094,0.814785,48780,1.62956,4425
./test_file,1,1,20,208.094,0.810192,48916,1.62033,4406
./test_file,1,1,20,209.095,0.831921,49467,1.66384,4437
./test_file,1,2,20,1.00046,2.59412,94856619066241,5.17883,4682
./test_file,1,2,20,2.00085,2.5802,18446649217090485374,5.1604,4658
./test_file,1,2,20,3.0013,2.71875,0,5.4375,4729
./test_file,1,2,20,4.00174,2.6377,0,5.27521,4718
./test_file,1,2,20,5.00214,2.64807,0,5.29614,4697
./test_file,1,2,20,6.00253,2.74658,0,5.49316,4669
./test_file,1,2,20,7.00293,2.72095,0,5.44177,4618
./test_file,1,2,20,8.00332,2.63245,0,5.26514,4590
./test_file,1,2,20,9.00375,2.79456,0,5.58923,4609
./test_file,1,2,20,10.0042,2.81702,0,5.63391,4611
./test_file,1,2,20,11.0045,2.69507,92763,5.39014,4605
./test_file,1,2,20,12.005,2.76526,146243,5.53015,4653
./test_file,1,2,20,13.0055,2.88965,154785,5.77979,4607
./test_file,1,2,20,14.0059,2.60669,132931,5.21326,4608
./test_file,1,2,20,15.0064,2.77979,146726,5.55933,4585
./test_file,1,2,20,16.0068,2.92688,158048,5.85376,4590
./test_file,1,2,20,17.0072,2.60571,135725,5.21167,4547
./test_file,1,2,20,18.0076,2.60144,135888,5.20509,4575
./test_file,1,2,20,19.008,2.56433,129883,5.12891,4616
./test_file,1,2,20,20.0085,2.60988,133590,5.21961,4587
./test_file,1,2,20,21.0089,2.67943,142346,5.35889,4567
./test_file,1,2,20,22.0094,2.67578,140485,5.35178,4643
./test_file,1,2,20,23.0098,2.8219,150479,5.64368,4626
./test_file,1,2,20,24.0105,2.63538,134441,5.27069,4629
./test_file,1,2,20,25.0111,2.57874,131491,5.15759,4646
